No.;Municipal District;Regional Public Highways (km);Unpaved Roads (km);Unclassified Roads (km);Winter Roads (km);Watercourses (km);Water Bodies (km²);Forest Area (km²);Average Elevation (m);Average Slope (°);Distance to Nearest Settlement (median, km);Winter Road to Watercourse Distance (Euclidean, km);Road Surface Type;Permafrost Zone Area (km²);Swamp Area (km²);Average Snow Depth (cm);Oil & Gas Pipeline Length (km);Power Line Length (km);Power Line & Highway Crossings (count);Winter Road & Power Line Crossings (count);Winter Road & Watercourse Crossings (count);Power Line & Winter Road Crossings (count);Pipeline & Highway Crossings (count);Pipeline & Winter Road Crossings (count);Winter Roads (count);Name;Opening Date;Closing Date;Length (km);River crossing(count);Crossing Name;Opening Date;Load Capacity (tons);Closing Date;Population Density (people/km²);Total Permanent Population (2025);Urban Permanent Population (2025);Rural Permanent Population (2025);Urbanization Rate (%)
30;Иланский муниципальный район;24,469;0;0;15,43;30,953;0;3669.0;328,00;0,87;0,00;0,00;5,00;0;11,931;4,2;138,386;154,643;0;0;0;0;3;0;1;Дорога Ельники - Хайрюзовка (зимник);;21 марта 2025;14,84;-;-;-;-;-;3,692;22125;15328;6797;70
31;Ирбейский муниципальный район;36,288;17,091;17,091;0;67,111;0;11135.0;450,00;1,64;0,00;0,00;5,00;4755,391;0,285;4,179824561;72,061;407,034;1;0;0;0;1;0;0;0;0;-;-;-;-;-;-;-;3,886;12459;0;12459;0
32;Казачинский муниципальный район;114,027;10,55;10,55;26,258;70,624;0;5710.0;205,00;0,60;1,00;2,01;5,00;0;7,429;6,614035088;187,085;492,301;11;0;0;0;1;0;1;Дорога Момотово-Захаровка-Стрелка (зимник);;28 марта 2025;47,01;1;Дорога Момотово-Широково (0+000);-;-;45723;0,44;8353;0;8353;0
33;Канский муниципальный район;47,824;18,548;18,548;0;90,795;0;4284.0;321,00;0,95;0,00;0,00;12,00;0;7,8;3,593023256;138,037;331,377;4;0;0;0;1;0;0;0;0;-;-;-;-;-;-;-;4,935;20906;0;20906;0
34;Каратузский муниципальный район;32,713;9,616;9,616;0;0;0;10204.0;619,00;3,41;0,00;0,00;5,00;2966,048;3,893;5,927884615;0;265,194;0;0;0;0;0;0;0;0;0;-;-;1;Дорога Каратузское-Старая Копь (5+849);11.03.2025.;8;-;2,08;12961;0;12961;0
35;Кежемский муниципальный район;82,079;221,857;221,857;295,828;347,121;0;34379.0;312,00;1,00;60,55;42,75;5,00;209,52;82,82;5,477941176;204,154;146,999;18;0;1;0;0;0;7;"Дорога Аксеново - 45 км а.д.; Дорога Ирба - Бидея (зимник); Дорога Новая Недокура - граница с Иркутской; Дорога Тагара - Таежный с км 0 по км 14; Дорога Тагара - Таежный с км 14 по км 114,7; Дорога Тагара - Яркино (зимник); Дорога Таежный - граница с Эвенкией (зимник)";0;"26 марта 2025; 25 марта 2025; 01 апреля 2025";"84,55; 39,97; 65,4";1;Дорога Н.Болтурино-Н.Недокура (24+190);-;-;42051;4,114;16236;12657;3579;78
36;Козульский муниципальный район;6,214;11,656;11,656;0;42,534;0;5219.0;331,00;0,72;0,00;0,00;5,00;0;34,185;5,462264151;237,437;193,194;0;0;0;0;1;0;0;0;0;-;-;-;-;-;-;-;2,353;11630;6128;5502;54
37;Краснотуранский муниципальный район;139,619;39,28;39,28;0;50,326;340,423;3426.0;423,00;2,18;0,00;0,00;12,00;0;0;2,421875;0;592,857;10;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;3,562;12675;0;12675;0
38;Курагинский муниципальный район;270,274;16,703;16,703;0;0;0;24058.0;880,00;5,06;0,00;0,00;5,00;53302,195;48,839;5,447257384;0;88,992;33;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;4,838;38839;22052;16787;58
39;Манский муниципальный район;165,094;6,019;6,019;0;0;0;5965.0;557,00;2,17;0,00;0,00;5,00;10,169;104,957;4,798387097;99,286;272,761;4;0;0;0;1;0;0;0;0;-;-;-;-;-;-;-;2,393;13399;0;13399;0
40;Минусинский муниципальный район;91,293;90,094;90,094;0;59,601;104,426;3192.0;379,00;1,34;0,00;0,00;12,00;0;6,264;2,14516129;0;0;5;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;2,49;23894;0;23894;0
