№;Муниципальное образование район;Краевые и региональные автодороги общего пользования(км);Дороги с грунтовым покрытием(км);Неклассифицированные дороги(км);Зимники(км);Водотоки(км);Водоемы(км^2);Площадь лесов(км^2);Средняя высота(м);Средняя крутизна(°);Расстояние от зимника до ближайшего населенного пункта (км);Расстояние от зимника до водотока (км);Тип покрытия(1-17);Площадь криолитозоны(км^2);Площадь болот(км^2);Средняя высота снежного покрова (cм) ;Длина нефтегазопроводов(НГП)(км);Длина ЛЭП(км);Пересечение ЛЭП и автодорог(кол-во);Пересечение зимников и ЛЭП(кол-во);Пересечение зимников и водотоков(кол-во);Пересечение ЛЭП и зимников(кол-во);Пересечение НГП и автодорог(кол-во);Пересечение НГП и зимников(кол-во);Зимники(кол-во);Название(текст);Дата открытия(дата);Дата закрытия(дата);Протяженность(км);Перепрвы (Кол-во);Название переправы;Дата открытия(дата);Грузоподъемность (тонн);Дата закрытия(дата);Плотность населения (чел/км^2);Постоянное населенее сводное (чел);Постоянное населенее городское (чел);Постоянное населенее селеское (чел);Оценка урбанизации территорий( %)
50;Северо-Енисейский муниципальный район;240,806;144,027;144,027;127,674;0;0;47144.0;405;2,209049463;63,739708;177,084798;1;5938,107;2,513;7,765957447;0;158,283;30;3;0;3;0;0;0;0;0;-;-;-;-;-;-;-;15,74;8173;5910;2263;74
51;Сухобузимский муниципальный район;83,363;68,468;68,468;0;114,965;0;5571.0;282;1,339199662;0;0;5;0;41,018;4,379310345;93,204;6,974;13;0;0;0;2;0;0;0;0;-;-;-;-;-;-;-;282,271;18668;0;18668;0
52;Таймырский Долгано-Ненецкий муниципальный район;24,568;19,864;19,864;142,574;3426,627;12135,372;839442.0;90;0,768306375;81,423059;392,770511;7;8136461,264;1392,475;4,778426003;254,264;61,21;3;0;3;0;0;0;0;0;0;-;-;-;-;-;-;-;295,164;29697;19781;9916;68
53;Тасеевский муниципальный район;25,285;0;0;98,406;0;0;9546.0;237;0,981190205;21,080203;1,766787;5;0;29,329;5,79787234;7,056;28,657;0;0;0;0;0;0;2;"Дорога Кирсантьево-Устье-Машуковка (зимник); Дорога Тасеево - Усть-Кайтым (зимник)";;"21 марта 2025; 21 марта 2025";"23,05; 51,98";-;-;-;-;-;36,626;9758;0;9758;0
54;Туруханский муниципальный район;0;16,35;169,568;688,086;1381,27;91,704;209464.0;104;0,511690378;97,108847;17,428507;8;778697,674;2454,751;8,699616123;0;42,422;0;13;18;13;0;0;3;"Дорога Бор-Верхнеимбатск (зимник); Дорога Енисейск-Ярцево-Ворогово-Бор (зимник); Дорога Подъезд к Ворогово";;"14 апреля 2025; 10 апреля 2025; 10 апреля 2025";"247,81; 147,62; 4,61";-;-;-;-;-;146,452;12656;3576;9080;30
55;Тюхтетский муниципальный округ;16,445;32,024;32,024;0;56,382;0;9294.0;194;0,274554312;0;0;5;0;12,954;6,195876289;0;434,718;5;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;1,625;7346;0;7346;0
56;Ужурский муниципальный район;167,885;28,289;28,289;0;46,729;5,131;4212.0;427;1,262965739;0;0;12;0;1,936;2,333333333;0;88,298;10;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;59,947;27195;14138;13057;52
57;Уярский муниципальный район;12,574;0,1;0,1;27,886;2,657;0;2230.0;382;1,070191979;27,070671;0;5;0;1,126;2,717391304;45,972;169,536;2;0;0;0;0;0;2;"Дорога Никольское-Речка; Дорога Роща-Пинчино (зимник)";;"20 марта 2025; 20 марта 2025";"20,09; 7,56";-;-;-;-;-;109,708;17788;11779;6009;68
58;Шарыповский муниципальный округ;151,057;12,097;12,097;0;1,472;53,563;3705.0;375;1,328884006;0;0;12;0;16,297;3,513513514;25,193;7,515;36;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;331,261;11239;0;11239;0
59;Шушенский муниципальный район;93,615;8,976;8,976;0;164,756;0;10151.0;1101;7,845459461;0;0;1;12602,369;0;4,346534653;0;0;15;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;1091,712;29997;167;13297;2
60;Эвенкийский муниципальный район;0;535,031;535,041;792,639;4195,501;710,351;758365.0;433;1,65614593;283,616103;34,11602;7;6806338,692;976,564;6,692144655;394,456;1,724;0;0;9;0;0;1;0;0;0;-;-;-;-;-;-;-;3937,688;13129;0;13129;0
